Date,Score
2023-12-24 15:30:00,150
2023-12-24 22:14:17,20
2023-12-24 22:14:34,60
2023-12-24 22:15:22,180
2023-12-24 22:15:51,60
2023-12-24 22:29:24,20
2023-12-24 22:14:34,60
2023-12-24 22:15:21,180
2023-12-24 22:15:51,60
2023-12-24 22:29:24,20
2023-12-24 22:42:27,70
2023-12-24 22:44:19,35
2023-12-24 22:45:20,15
2023-12-24 22:47:03,90
2023-12-24 23:05:19,50
2023-12-24 23:15:16,20
2023-12-24 23:23:59,540
2023-12-24 23:25:30,345
2023-12-24 23:28:56,315
2023-12-24 23:29:24,10
2023-12-24 23:37:53,145
2023-12-24 23:39:57,14
2023-12-24 23:41:31,55
2023-12-24 23:44:15,32
2023-12-24 23:52:03,43
2023-12-24 23:52:15,18
2024-05-10 01:55:14,138
2024-05-10 01:55:54,74
2024-06-13 00:07:55,13
2024-06-13 00:08:42,162
2024-06-13 00:18:20,146
